2016/01/10 01:43:46 [error] 2461#0: *30 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/index.php"
2016/01/10 01:43:51 [error] 2461#0: *33 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "winecat.me", referrer: "http://winecat.me/admin/index.php"
2016/01/10 01:47:05 [error] 2461#0: *52 FastCGI sent in stderr: "PHP Notice:  Undefined property: Typecho_Http_Client_Adapter_Socket::$reponseBody in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 147
PHP Notice:  Undefined offset: 1 in /data/web/winecat/typecho/var/Typecho/Http/Client/Adapter/Socket.php on line 149" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/action/ajax?do=feed HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/admin/"
2016/01/10 02:12:29 [error] 2461#0: *95 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/10 02:13:38 [error] 2461#0: *112 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/category/self/"
2016/01/10 02:13:42 [error] 2461#0: *112 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/category/study/"
2016/01/10 02:14:16 [error] 2461#0: *130 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/10 02:16:03 [error] 2461#0: *136 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/10 02:16:04 [error] 2461#0: *138 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/10 02:16:59 [error] 2461#0: *137 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
2016/01/10 02:17:08 [error] 2461#0: *137 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/category/study/"
2016/01/10 02:20:09 [error] 2461#0: *159 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/category/other/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/index.php/category/study/"
2016/01/10 02:33:50 [error] 2461#0: *218 FastCGI sent in stderr: "PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302
PHP Notice:  Uninitialized string offset: 0 in /data/web/winecat/typecho/var/CommonMark/DocParser.php on line 302" while reading response header from upstream, client: 119.131.143.57, server: winecat.me, request: "GET /index.php/feed/ HTTP/1.1", upstream: "fastcgi://127.0.0.1:9000", host: "www.winecat.me", referrer: "http://www.winecat.me/"
